Player,Season,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JC Buttler (RR),2022,17,17,2,863,116,57.53,579,149.05,4,4,-,83,45
KL Rahul (LSG),2022,15,15,3,616,103*,51.33,455,135.38,2,4,3,45,30
Q de Kock (LSG),2022,15,15,1,508,140*,36.28,341,148.97,1,3,-,47,23
HH Pandya (GT),2022,15,15,4,487,87*,44.27,371,131.26,-,4,-,49,12
Shubman Gill (GT),2022,16,16,2,483,96,34.5,365,132.32,-,4,2,51,11
DA Miller (GT),2022,16,16,9,481,94*,68.71,337,142.72,-,2,-,32,23
F du Plessis (RCB),2022,16,16,1,468,96,31.2,367,127.52,-,3,2,49,13
S Dhawan (PBKS),2022,14,14,2,460,88*,38.33,375,122.66,-,3,-,47,12
SV Samson (RR),2022,17,17,1,458,55,28.62,312,146.79,-,2,-,43,26
DJ Hooda (LSG),2022,15,14,-,451,59,32.21,330,136.66,-,4,-,36,18
LS Livingstone (PBKS),2022,14,14,2,437,70,36.41,240,182.08,-,4,-,29,34
DA Warner (DC),2022,12,12,3,432,92*,48,287,150.52,-,5,1,52,15
Abhishek Sharma (SRH),2022,14,14,-,426,75,30.42,320,133.12,-,2,1,47,13
Ishan Kishan (MI),2022,14,14,1,418,81*,32.15,348,120.11,-,3,1,45,11
RA Tripathi (SRH),2022,14,14,3,413,76,37.54,261,158.23,-,3,2,40,20
SS Iyer (KKR),2022,14,14,1,401,85,30.84,298,134.56,-,3,-,41,11
NT Tilak Varma (MI),2022,14,14,3,397,61,36.09,303,131.02,-,2,1,29,16
AK Markram (SRH),2022,14,12,4,381,68*,47.62,274,139.05,-,3,-,25,19
D Padikkal (RR),2022,17,17,-,376,54,22.11,306,122.87,-,1,1,40,14
RD Gaikwad (CSK),2022,14,14,-,368,99,26.28,291,126.46,-,3,2,33,14
N Rana (KKR),2022,14,14,1,361,57,27.76,251,143.82,-,2,1,29,22
V Kohli (RCB),2022,16,16,1,341,73,22.73,294,115.98,-,2,3,32,8
RR Pant (DC),2022,14,13,2,340,44,30.9,224,151.78,-,-,-,35,16
AD Russell (KKR),2022,14,12,3,335,70*,37.22,192,174.47,-,1,2,18,32
RM Patidar (RCB),2022,8,7,1,333,112*,55.5,218,152.75,1,2,-,27,18
KD Karthik (RCB),2022,16,16,10,330,66*,55,180,183.33,-,1,1,27,22
WP Saha (GT),2022,11,11,1,317,68,31.7,259,122.39,-,3,1,40,7
SO Hetmyer (RR),2022,15,15,8,314,59*,44.85,204,153.92,-,1,-,21,21
N Pooran (SRH),2022,14,13,5,306,64*,38.25,212,144.33,-,2,1,16,21
SA Yadav (MI),2022,8,8,1,303,68*,43.28,208,145.67,-,3,-,23,16
GJ Maxwell (RCB),2022,13,13,2,301,55,27.36,178,169.1,-,1,1,31,15
S Dube (CSK),2022,11,11,1,289,95*,28.9,185,156.21,-,2,1,22,16
PP Shaw (DC),2022,10,10,-,283,61,28.3,185,152.97,-,2,1,37,10
AT Rayudu (CSK),2022,13,11,-,274,78,24.9,224,122.32,-,1,-,25,15
RG Sharma (MI),2022,14,14,-,268,48,19.14,223,120.17,-,-,1,28,13
YBK Jaiswal (RR),2022,10,10,-,258,68,25.8,194,132.98,-,2,-,28,10
JM Bairstow (PBKS),2022,11,11,-,253,66,23,175,144.57,-,2,-,34,9
DP Conway (CSK),2022,7,7,1,252,87,42,173,145.66,-,3,1,22,12
MR Marsh (DC),2022,8,8,-,251,89,31.37,189,132.8,-,2,1,19,14
R Powell (DC),2022,14,12,2,250,67*,25,167,149.7,-,1,2,10,22
MM Ali (CSK),2022,10,10,-,244,93,24.4,177,137.85,-,1,2,24,11
JM Sharma (PBKS),2022,12,10,2,234,44,29.25,143,163.63,-,-,-,22,12
MS Dhoni (CSK),2022,14,13,6,232,50*,33.14,188,123.4,-,1,-,21,10
RV Uthappa (CSK),2022,12,11,-,230,88,20.9,171,134.5,-,2,1,19,14
Shahbaz Ahmed (RCB),2022,16,11,3,219,45,27.37,181,120.99,-,-,-,14,9
R Tewatia (GT),2022,16,12,5,217,43*,31,147,147.61,-,-,-,22,9
KS Williamson (SRH),2022,13,13,2,216,57,19.63,231,93.5,-,1,1,16,8
PBB Rajapaksa (PBKS),2022,9,9,-,206,43,22.88,129,159.68,-,-,-,16,13
MA Agarwal (PBKS),2022,13,12,-,196,52,16.33,160,122.5,-,1,1,23,6
R Ashwin (RR),2022,17,12,5,191,50,27.28,135,141.48,-,1,-,14,9
TH David (MI),2022,8,8,3,186,46,37.2,86,216.27,-,-,-,12,16
R Parag (RR),2022,17,14,3,183,56*,16.63,132,138.63,-,1,-,11,10
KH Pandya (LSG),2022,14,13,4,183,42,20.33,145,126.2,-,-,1,16,4
AR Patel (DC),2022,13,10,6,182,42*,45.5,120,151.66,-,-,-,12,10
VR Iyer (KKR),2022,12,12,1,182,50*,16.54,169,107.69,-,1,1,17,7
RK Singh (KKR),2022,7,7,2,174,42*,34.8,117,148.71,-,-,-,17,7
SW Billings (KKR),2022,8,8,1,169,36,24.14,138,122.46,-,-,-,9,10
D Brevis (MI),2022,7,7,-,161,49,23,113,142.47,-,-,-,14,11
A Badoni (LSG),2022,13,11,3,161,54,20.12,130,123.84,-,1,1,11,7
Lalit Yadav (DC),2022,12,8,1,161,48*,23,146,110.27,-,-,-,11,7
MS Wade (GT),2022,10,10,-,157,35,15.7,138,113.76,-,-,-,23,2
MP Stoinis (LSG),2022,11,10,2,156,38*,19.5,106,147.16,-,-,1,7,13
B Sai Sudharsan (GT),2022,5,5,1,145,65*,36.25,114,127.19,-,1,-,14,3
KA Pollard (MI),2022,11,11,1,144,25,14.4,134,107.46,-,-,1,6,9
AM Rahane (KKR),2022,7,7,-,133,44,19,128,103.9,-,-,-,14,4
Anuj Rawat (RCB),2022,8,8,-,129,66,16.12,118,109.32,-,1,3,10,7
SN Thakur (DC),2022,14,10,2,120,29*,15,87,137.93,-,-,-,7,7
M Shahrukh Khan (PBKS),2022,8,8,1,117,26,16.71,108,108.33,-,-,1,4,9
RA Jadeja (CSK),2022,10,10,4,116,26*,19.33,98,118.36,-,-,2,6,5
A Manohar (GT),2022,8,7,1,108,43,18,75,144,-,-,1,14,3
Washington Sundar (SRH),2022,9,7,-,101,40,14.42,69,146.37,-,-,-,9,3
Rashid Khan (GT),2022,16,8,4,91,40,22.75,44,206.81,-,-,3,3,9
SN Khan (DC),2022,6,5,2,91,36*,30.33,67,135.82,-,-,-,9,2
MK Pandey (LSG),2022,6,6,-,88,38,14.66,80,110,-,-,-,9,2
MK Lomror (RCB),2022,7,5,-,86,42,17.2,57,150.87,-,-,-,7,4
AJ Finch (KKR),2022,5,5,-,86,58,17.2,61,140.98,-,1,-,10,3
RD Chahar (PBKS),2022,13,8,2,77,25*,12.83,68,113.23,-,-,2,7,4
E Lewis (LSG),2022,6,5,2,73,55*,24.33,56,130.35,-,1,-,8,3
SP Narine (KKR),2022,14,10,2,71,22,8.87,40,177.5,-,-,3,6,6
Shashank Singh (SRH),2022,10,5,1,69,25*,17.25,47,146.8,-,-,-,5,4
SS Prabhudessai (RCB),2022,5,5,-,67,34,13.4,59,113.55,-,-,-,7,2
PJ Cummins (KKR),2022,5,5,1,63,56*,15.75,24,262.5,-,1,2,5,6
JD Unadkat (MI),2022,5,5,2,59,19*,19.66,37,159.45,-,-,-,4,3
R Shepherd (SRH),2022,3,3,1,58,26*,29,41,141.46,-,-,-,2,5
JO Holder (LSG),2022,12,8,2,58,16,9.66,44,131.81,-,-,-,2,6
UT Yadav (KKR),2022,12,7,3,55,21,13.75,40,137.5,-,-,2,4,4
OF Smith (PBKS),2022,6,6,3,51,25*,17,44,115.9,-,-,1,1,5
K Rabada (PBKS),2022,13,8,3,48,25,9.6,43,111.62,-,-,-,5,2
Kuldeep Yadav (DC),2022,14,7,6,48,16*,48,52,92.3,-,-,-,3,2
PK Garg (SRH),2022,2,2,-,46,42,23,33,139.39,-,-,-,4,2
Ramandeep Singh (MI),2022,5,4,2,45,14*,22.5,40,112.5,-,-,-,3,1
D Pretorius (CSK),2022,6,5,1,44,22,11,28,157.14,-,-,1,3,3
PVD Chameera (LSG),2022,12,8,4,43,17,10.75,28,153.57,-,-,2,3,3
HV Patel (RCB),2022,15,8,3,43,11,8.6,39,110.25,-,-,1,4,2
HR Shokeen (MI),2022,5,3,1,43,25,21.5,48,89.58,-,-,-,5,0
TA Boult (RR),2022,16,8,6,40,17*,20,29,137.93,-,-,-,2,1
N Jagadeesan (CSK),2022,2,2,1,40,39*,40,37,108.1,-,-,-,3,1
DR Sams (MI),2022,11,10,3,38,15,5.42,36,105.55,-,-,2,1,3
PW Hasaranga (RCB),2022,16,7,-,38,18,5.42,43,88.37,-,-,2,4,1
R Dhawan (PBKS),2022,6,4,2,37,21*,18.5,40,92.5,-,-,-,4,2
DJ Mitchell (RR),2022,2,2,-,33,17,16.5,44,75,-,-,-,1,0
SE Rutherford (RCB),2022,3,2,-,33,28,16.5,50,66,-,-,-,1,1
JDS Neesham (RR),2022,2,2,-,31,17,15.5,27,114.81,-,-,-,3,0
Mohammed Siraj (RCB),2022,15,5,3,30,14*,15,33,90.9,-,-,-,5,0
TL Seifert (DC),2022,2,2,-,24,21,12,19,126.31,-,-,-,4,0
B Kumar (SRH),2022,14,6,3,24,8,8,26,92.3,-,-,-,3,0
Mohsin Khan (LSG),2022,9,3,2,23,13*,23,16,143.75,-,-,-,2,1
DJ Bravo (CSK),2022,10,6,4,23,12,11.5,24,95.83,-,-,1,1,1
SP Jackson (KKR),2022,5,5,1,23,8,5.75,26,88.46,-,-,1,0,1
Avesh Khan (LSG),2022,13,4,3,22,12,22,13,169.23,-,-,-,0,3
HE van der Dussen (RR),2022,3,3,1,22,12*,11,24,91.66,-,-,-,2,0
Harpreet Brar (PBKS),2022,5,3,-,22,14,7.33,25,88,-,-,-,1,2
MJ Santner (CSK),2022,6,4,2,22,11,11,27,81.48,-,-,-,3,0
Arshdeep Singh (PBKS),2022,14,6,3,21,10*,7,29,72.41,-,-,2,3,0
B Indrajith (KKR),2022,3,3,-,21,15,7,30,70,-,-,1,2,0
M Vohra (LSG),2022,2,1,-,19,19,19,11,172.72,-,-,-,1,2
V Shankar (GT),2022,4,4,-,19,13,4.75,35,54.28,-,-,1,1,0
Mandeep Singh (DC),2022,3,3,-,18,18,6,23,78.26,-,-,2,4,0
JR Hazlewood (RCB),2022,12,5,5,18,7*,-,26,69.23,-,-,-,1,0
DJ Willey (RCB),2022,4,2,-,18,18,9,30,60,-,-,1,3,0
KK Nair (RR),2022,3,2,-,16,13,8,18,88.88,-,-,-,1,0
Prabhsimran Singh (PBKS),2022,1,1,-,14,14,14,11,127.27,-,-,-,2,0
Anmolpreet Singh (MI),2022,2,2,-,13,8,6.5,13,100,-,-,-,1,0
M Ashwin (MI),2022,8,5,2,12,6,4,14,85.71,-,-,1,1,1
CV Varun (KKR),2022,11,4,4,12,10*,-,18,66.66,-,-,-,2,0
CJ Jordan (CSK),2022,4,2,1,11,6*,11,8,137.5,-,-,-,0,0
RA Bawa (PBKS),2022,2,2,-,11,11,5.5,14,78.57,-,-,1,1,0
M Jansen (SRH),2022,8,3,2,9,8*,9,7,128.57,-,-,-,0,1
S Gopal (SRH),2022,1,1,1,9,9*,-,7,128.57,-,-,-,2,0
OC McCoy (RR),2022,7,1,-,8,8,8,5,160,-,-,-,0,1
FA Allen (MI),2022,1,1,-,8,8,8,7,114.28,-,-,-,1,0
KS Bharat (DC),2022,2,2,-,8,8,4,7,114.28,-,-,1,2,0
SA Abbott (SRH),2022,1,1,-,7,7,7,5,140,-,-,-,0,1
Rasikh Salam (KKR),2022,2,1,-,7,7,7,6,116.66,-,-,-,1,0
Kartik Tyagi (SRH),2022,2,2,-,7,7,3.5,6,116.66,-,-,1,1,0
M Theekshana (CSK),2022,9,2,1,7,7*,7,7,100,-,-,1,0,1
Simarjeet Singh (CSK),2022,6,3,2,7,3*,7,8,87.5,-,-,-,0,0
RV Patel (DC),2022,2,1,-,6,6,6,3,200,-,-,-,0,1
Mukesh Choudhary (CSK),2022,13,2,1,6,4,6,6,100,-,-,-,1,0
M Prasidh Krishna (RR),2022,17,3,2,6,4*,6,12,50,-,-,-,0,0
Aman Hakim Khan (KKR),2022,1,1,-,5,5,5,3,166.66,-,-,-,1,0
LH Ferguson (GT),2022,13,3,1,5,5,2.5,4,125,-,-,1,1,0
AS Joseph (GT),2022,9,3,2,5,4*,5,7,71.42,-,-,1,0,0
YS Chahal (RR),2022,17,2,1,5,5,5,8,62.5,-,-,-,0,0
VG Arora (PBKS),2022,5,4,2,5,2*,2.5,13,38.46,-,-,1,0,0
PN Mankad (PBKS),2022,1,1,1,4,4*,-,1,400,-,-,-,1,0
KS Sharma (LSG),2022,1,1,-,4,4,4,4,100,-,-,-,1,0
Abdul Samad (SRH),2022,2,2,-,4,4,2,7,57.14,-,-,1,0,0
A Tomar (KKR),2022,1,1,-,4,4,4,8,50,-,-,-,1,0
Umran Malik (SRH),2022,14,4,3,4,3*,4,8,50,-,-,1,0,0
