Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Mohammed Shami (GT),2023-2023,17,17,390,65,2,522,28,04-Nov,18.64,8.03,13.92,2,-
MM Sharma (GT),2023-2023,14,14,265,44.1,-,361,27,05-Oct,13.37,8.17,9.81,2,1
Rashid Khan (GT),2023-2023,17,17,402,67,-,552,27,Apr-30,20.44,8.23,14.88,1,-
PP Chawla (MI),2023-2023,16,16,366,61,-,495,22,Mar-22,22.5,8.11,16.63,-,-
YS Chahal (RR),2023-2023,14,14,317,52.5,-,432,21,Apr-17,20.57,8.17,15.09,3,-
TU Deshpande (CSK),2023-2023,16,16,341,56.5,-,564,21,Mar-45,26.85,9.92,16.23,-,-
RA Jadeja (CSK),2023-2023,16,16,342,57,-,431,20,Mar-20,21.55,7.56,17.1,-,-
CV Varun (KKR),2023-2023,14,14,316,52.4,1,429,20,Apr-15,21.45,8.14,15.8,1,-
Mohammed Siraj (RCB),2023-2023,14,14,300,50,-,375,19,Apr-21,19.73,7.5,15.78,1,-
M Pathirana (CSK),2023-2023,12,12,278,46.2,-,371,19,Mar-15,19.52,8,14.63,-,-
Arshdeep Singh (PBKS),2023-2023,14,14,305,50.5,-,493,17,Apr-29,29,9.69,17.94,1,-
Ravi Bishnoi (LSG),2023-2023,15,14,303,50.3,-,391,16,Mar-28,24.43,7.74,18.93,-,-
Noor Ahmad (GT),2023-2023,13,13,283,47.1,-,369,16,Mar-37,23.06,7.82,17.68,-,-
B Kumar (SRH),2023-2023,14,14,306,51,1,425,16,May-30,26.56,8.33,19.12,-,1
R Ashwin (RR),2023-2023,13,13,294,49,-,368,14,Feb-23,26.28,7.51,21,-,-
A Madhwal (MI),2023-2023,8,8,153,25.3,-,219,14,05-May,15.64,8.58,10.92,1,1
JP Behrendorff (MI),2023-2023,12,12,252,42,-,387,14,Mar-23,27.64,9.21,18,-,-
HV Patel (RCB),2023-2023,14,13,282,47,-,454,14,Mar-32,32.42,9.65,20.14,-,-
TA Boult (RR),2023-2023,10,10,228,38,3,312,13,Mar-29,24,8.21,17.53,-,-
DL Chahar (CSK),2023-2023,10,10,204,34,-,297,13,Mar-22,22.84,8.73,15.69,-,-
NT Ellis (PBKS),2023-2023,10,10,228,38,-,339,13,Apr-30,26.07,8.92,17.53,1,-
Yash Thakur (LSG),2023-2023,9,9,191,31.5,-,289,13,Apr-37,22.23,9.07,14.69,1,-
M Markande (SRH),2023-2023,10,10,228,38,-,300,12,Apr-15,25,7.89,19,1,-
MR Marsh (DC),2023-2023,9,8,121,20.1,1,170,12,Apr-27,14.16,8.42,10.08,1,-
AR Patel (DC),2023-2023,14,13,282,47,-,338,11,Feb-13,30.72,7.19,25.63,-,-
Naveen-ul-Haq (LSG),2023-2023,8,7,168,28,-,219,11,Apr-38,19.9,7.82,15.27,1,-
SP Narine (KKR),2023-2023,14,14,288,48,-,383,11,Mar-33,34.81,7.97,26.18,-,-
M Theekshana (CSK),2023-2023,13,13,294,49,1,392,11,Feb-23,35.63,8,26.72,-,-
MA Wood (LSG),2023-2023,4,4,96,16,1,130,11,May-14,11.81,8.12,8.72,-,1
Kuldeep Yadav (DC),2023-2023,14,14,294,49,1,361,10,Feb-15,36.1,7.36,29.4,-,-
Suyash Sharma (KKR),2023-2023,11,11,234,39,-,321,10,Mar-30,32.1,8.23,23.4,-,-
I Sharma (DC),2023-2023,8,8,150,25,-,206,10,Feb-19,20.6,8.24,15,-,-
Sandeep Sharma (RR),2023-2023,12,12,276,46,-,396,10,Feb-25,39.6,8.6,27.6,-,-
A Nortje (DC),2023-2023,10,10,240,40,-,364,10,Feb-20,36.4,9.1,24,-,-
T Natarajan (SRH),2023-2023,12,12,270,45,-,410,10,Feb-23,41,9.11,27,-,-
M Jansen (SRH),2023-2023,8,8,162,27,1,267,10,Feb-16,26.7,9.88,16.2,-,-
SM Curran (PBKS),2023-2023,14,14,287,47.5,-,489,10,Mar-31,48.9,10.22,28.7,-,-
KV Sharma (RCB),2023-2023,7,7,129,21.3,-,223,10,Feb-19,22.3,10.37,12.9,-,-
KH Pandya (LSG),2023-2023,15,12,252,42,-,313,9,Mar-18,34.77,7.45,28,-,-
MM Ali (CSK),2023-2023,15,11,156,26,-,195,9,Apr-26,21.66,7.5,17.33,1,-
Harpreet Brar (PBKS),2023-2023,13,11,163,27.1,-,218,9,Apr-30,24.22,8.02,18.11,1,-
PW Hasaranga (RCB),2023-2023,8,8,174,29,-,258,9,Feb-24,28.66,8.89,19.33,-,-
KK Ahmed (DC),2023-2023,9,9,198,33,2,301,9,Feb-24,33.44,9.12,22,-,-
WD Parnell (RCB),2023-2023,7,7,151,25.1,-,236,9,03-Oct,26.22,9.37,16.77,-,-
V Vyshak (RCB),2023-2023,7,7,144,24,-,253,9,Mar-20,28.11,10.54,16,-,-
RD Chahar (PBKS),2023-2023,14,14,298,49.4,-,385,8,Feb-16,48.12,7.75,37.25,-,-
A Zampa (RR),2023-2023,6,6,132,22,-,188,8,Mar-22,23.5,8.54,16.5,-,-
Avesh Khan (LSG),2023-2023,9,9,174,29,-,283,8,Mar-25,35.37,9.75,21.75,-,-
A Mishra (LSG),2023-2023,7,7,114,19,-,149,7,Feb-21,21.28,7.84,16.28,-,-
JB Little (GT),2023-2023,10,10,204,34,-,294,7,Feb-25,42,8.64,29.14,-,-
AS Joseph (GT),2023-2023,7,7,144,24,-,225,7,Feb-27,32.14,9.37,20.57,-,-
K Rabada (PBKS),2023-2023,6,6,138,23,-,232,7,Feb-34,33.14,10.08,19.71,-,-
SN Thakur (KKR),2023-2023,11,9,126,21,-,220,7,Feb-23,31.42,10.47,18,-,-
Mukesh Kumar (DC),2023-2023,10,10,186,31,-,326,7,Feb-30,46.57,10.51,26.57,-,-
RP Meredith (MI),2023-2023,5,5,118,19.4,-,207,7,Feb-33,29.57,10.52,16.85,-,-
AD Russell (KKR),2023-2023,14,9,91,15.1,-,172,7,Mar-22,24.57,11.34,13,-,-
MG Bracewell (RCB),2023-2023,5,5,66,11,-,95,6,Feb-13,15.83,8.63,11,-,-
C Green (MI),2023-2023,16,16,228,38,-,361,6,Feb-41,60.16,9.5,38,-,-
Harshit Rana (KKR),2023-2023,6,6,102,17,-,147,5,Feb-33,29.4,8.64,20.4,-,-
K Kartikeya (MI),2023-2023,8,8,156,26,-,227,5,Feb-37,45.4,8.73,31.2,-,-
VG Arora (KKR),2023-2023,5,5,96,16,-,146,5,Feb-30,29.2,9.12,19.2,-,-
MP Stoinis (LSG),2023-2023,15,5,65,10.5,-,100,5,Feb-20,20,9.23,13,-,-
Akash Singh (CSK),2023-2023,6,6,114,19,-,188,5,Feb-40,37.6,9.89,22.8,-,-
Umran Malik (SRH),2023-2023,8,8,120,20,-,217,5,Feb-32,43.4,10.85,24,-,-
Arshad Khan (MI),2023-2023,6,6,85,14.1,-,190,5,Mar-39,38,13.41,17,-,-
Fazalhaq Farooqi (SRH),2023-2023,4,4,80,13.2,-,117,4,Feb-41,29.25,8.77,20,-,-
JO Holder (RR),2023-2023,8,8,171,28.3,-,284,4,Feb-29,71,9.96,42.75,-,-
MJ Santner (CSK),2023-2023,3,3,72,12,-,81,3,Feb-28,27,6.75,24,-,-
DJ Willey (RCB),2023-2023,4,4,90,15,1,105,3,Feb-16,35,7,30,-,-
K Gowtham (LSG),2023-2023,7,6,96,16,-,118,3,01-Oct,39.33,7.37,32,-,-
AS Roy (KKR),2023-2023,4,3,48,8,-,65,3,Feb-19,21.66,8.12,16,-,-
Washington Sundar (SRH),2023-2023,7,7,106,17.4,-,146,3,Mar-28,48.66,8.26,35.33,-,-
JR Hazlewood (RCB),2023-2023,3,3,54,9,-,76,3,Feb-15,25.33,8.44,18,-,-
N Rana (KKR),2023-2023,14,6,53,8.5,-,75,3,Feb-17,25,8.49,17.66,-,-
Yudhvir Singh (LSG),2023-2023,3,3,48,8,-,70,3,Feb-19,23.33,8.75,16,-,-
GJ Maxwell (RCB),2023-2023,14,7,62,10.2,-,94,3,01-Mar,31.33,9.09,20.66,-,-
HH Pandya (GT),2023-2023,16,11,150,25,-,228,3,01-Oct,76,9.12,50,-,-
AS Tendulkar (MI),2023-2023,4,4,59,9.5,-,92,3,01-Sep,30.66,9.35,19.66,-,-
HR Shokeen (MI),2023-2023,8,8,114,19,-,187,3,Feb-34,62.33,9.84,38,-,-
KM Asif (RR),2023-2023,4,4,84,14,-,138,3,Feb-42,46,9.85,28,-,-
Sikandar Raza (PBKS),2023-2023,7,6,72,12,-,119,3,Jan-19,39.66,9.91,24,-,-
RS Hangargekar (CSK),2023-2023,2,2,36,6,-,60,3,Mar-36,20,10,12,-,-
Mohsin Khan (LSG),2023-2023,5,4,60,10,-,107,3,Jan-24,35.66,10.7,20,-,-
CJ Jordan (MI),2023-2023,6,6,132,22,1,237,3,01-Jul,79,10.77,44,-,-
C Sakariya (DC),2023-2023,2,2,48,8,-,89,3,Feb-53,29.66,11.12,16,-,-
NA Saini (RR),2023-2023,2,2,36,6,-,74,3,Mar-40,24.66,12.33,12,-,-
AU Rashid (SRH),2023-2023,2,2,42,7,-,56,2,Feb-23,28,8,21,-,-
Lalit Yadav (DC),2023-2023,6,4,78,13,-,118,2,Jan-29,59,9.07,39,-,-
JC Archer (MI),2023-2023,5,5,120,20,-,190,2,Jan-35,95,9.5,60,-,-
K Yadav (RR),2023-2023,2,2,42,7,-,68,2,Jan-18,34,9.71,21,-,-
Abhishek Sharma (SRH),2023-2023,11,5,72,12,-,124,2,Jan-26,62,10.33,36,-,-
Yash Dayal (GT),2023-2023,5,5,84,14,-,165,2,Jan-31,82.5,11.78,42,-,-
TG Southee (KKR),2023-2023,2,2,36,6,-,79,2,Feb-54,39.5,13.16,18,-,-
LS Livingstone (PBKS),2023-2023,9,5,42,7,-,94,2,Jan-19,47,13.42,21,-,-
K Khejroliya (KKR),2023-2023,2,2,26,4.2,-,64,2,Feb-44,32,14.76,13,-,-
P Dubey (DC),2023-2023,1,1,18,3,-,19,1,Jan-19,19,6.33,18,-,-
GD Phillips (SRH),2023-2023,5,2,18,3,-,20,1,01-Oct,20,6.66,18,-,-
T Stubbs (MI),2023-2023,2,1,12,2,-,14,1,Jan-14,14,7,12,-,-
RJW Topley (RCB),2023-2023,1,1,12,2,-,14,1,Jan-14,14,7,12,-,-
MJ Dagar (SRH),2023-2023,3,3,66,11,-,83,1,Jan-37,83,7.54,66,-,-
